source,target,type
R-HSA-5619084,R-HSA-9612973,h
R-HSA-382556,R-HSA-9612973,h
R-HSA-68867,R-HSA-9612973,h
R-HSA-9645460,R-HSA-9612973,h
R-HSA-450408,R-HSA-9612973,h
R-HSA-977225,R-HSA-9612973,h
R-HSA-5620912,R-HSA-9612973,h
R-HSA-1280218,R-HSA-9612973,h
R-HSA-163680,R-HSA-9612973,h
R-HSA-2151209,R-HSA-9612973,h
R-HSA-446203,R-HSA-9612973,h
R-HSA-109581,R-HSA-9612973,h
R-HSA-5619084,R-HSA-9613829,h
R-HSA-382556,R-HSA-9613829,h
R-HSA-3371556,R-HSA-9613829,h
R-HSA-5620912,R-HSA-9613829,h
R-HSA-2173782,R-HSA-9613829,h
R-HSA-450408,R-HSA-9613829,h
R-HSA-1234174,R-HSA-9613829,h
R-HSA-68867,R-HSA-9613829,h
R-HSA-9645460,R-HSA-9613829,h
R-HSA-977225,R-HSA-9613829,h
R-HSA-9711123,R-HSA-9613829,h
R-HSA-9711097,R-HSA-9613829,h
R-HSA-5621481,R-HSA-9613829,h
R-HSA-3858494,R-HSA-9613829,h
R-HSA-1640170,R-HSA-9615710,h
R-HSA-69278,R-HSA-9615710,h
R-HSA-5663205,R-HSA-9615710,h
R-HSA-9609646,R-HSA-9615710,h
R-HSA-162906,R-HSA-9615710,h
R-HSA-917729,R-HSA-9615710,h
R-HSA-9613829,R-HSA-9615710,h
R-HSA-3371556,R-HSA-9615710,h
R-HSA-5617833,R-HSA-9615710,h
R-HSA-69615,R-HSA-9615710,h
R-HSA-1234174,R-HSA-9615710,h
R-HSA-400253,R-HSA-9615710,h
R-HSA-6783310,R-HSA-9615710,h
R-HSA-73893,R-HSA-9615710,h
R-HSA-5693606,R-HSA-9615710,h
R-HSA-5693538,R-HSA-9615710,h
R-HSA-5696399,R-HSA-9615710,h
R-HSA-69002,R-HSA-9615710,h
R-HSA-68867,R-HSA-9615710,h
R-HSA-5663084,R-HSA-9615710,h
R-HSA-5619084,R-HSA-9615710,h
R-HSA-9682385,R-HSA-9615710,h
R-HSA-5387390,R-HSA-9615710,h
R-HSA-9635486,R-HSA-9615710,h
R-HSA-9607240,R-HSA-9615710,h
R-HSA-1834949,R-HSA-9615710,h
R-HSA-9645460,R-HSA-9615710,h
R-HSA-168928,R-HSA-9615710,h
R-HSA-8982491,R-HSA-9615710,h
R-HSA-450408,R-HSA-9615710,h
R-HSA-977225,R-HSA-9615710,h
R-HSA-156842,R-HSA-9615710,h
R-HSA-72613,R-HSA-9615710,h
R-HSA-72764,R-HSA-9615710,h
R-HSA-73887,R-HSA-9615710,h
R-HSA-195253,R-HSA-9615710,h
R-HSA-5610787,R-HSA-9615710,h
R-HSA-5632684,R-HSA-9615710,h
R-HSA-5358346,R-HSA-9615710,h
R-HSA-917937,R-HSA-9615710,h
R-HSA-382556,R-HSA-9615710,h
R-HSA-8856828,R-HSA-9615710,h
R-HSA-9707616,R-HSA-9615710,h
R-HSA-9711123,R-HSA-9615710,h
R-HSA-983231,R-HSA-9615710,h
R-HSA-1237044,R-HSA-9615710,h
R-HSA-1247673,R-HSA-9615710,h
R-HSA-2173782,R-HSA-9615710,h
R-HSA-3371497,R-HSA-9615710,h
R-HSA-5620912,R-HSA-9615710,h
R-HSA-5620924,R-HSA-9615710,h
R-HSA-5619115,R-HSA-9615710,h
R-HSA-5688426,R-HSA-9615710,h
R-HSA-69481,R-HSA-9615710,h
R-HSA-9711097,R-HSA-9615710,h
R-HSA-5693532,R-HSA-9615710,h
R-HSA-5621481,R-HSA-9615710,h
R-HSA-3858494,R-HSA-9615710,h
R-HSA-983712,R-HSA-9615710,h
R-HSA-9613829,R-HSA-1632852,h
R-HSA-3371497,R-HSA-1632852,h
R-HSA-3371556,R-HSA-1632852,h
R-HSA-168255,R-HSA-1632852,h
R-HSA-211000,R-HSA-1632852,h
R-HSA-2029480,R-HSA-1632852,h
R-HSA-168928,R-HSA-1632852,h
R-HSA-5617833,R-HSA-1632852,h
R-HSA-5620912,R-HSA-1632852,h
R-HSA-8939211,R-HSA-1632852,h
R-HSA-2173782,R-HSA-1632852,h
R-HSA-165159,R-HSA-1632852,h
R-HSA-380972,R-HSA-1632852,h
R-HSA-69620,R-HSA-1632852,h
R-HSA-68886,R-HSA-1632852,h
R-HSA-9609646,R-HSA-1632852,h
R-HSA-2132295,R-HSA-1632852,h
R-HSA-446203,R-HSA-1632852,h
R-HSA-6811442,R-HSA-1632852,h
R-HSA-199977,R-HSA-1632852,h
R-HSA-165181,R-HSA-1632852,h
R-HSA-5663205,R-HSA-1632852,h
R-HSA-1280218,R-HSA-1632852,h
R-HSA-983169,R-HSA-1632852,h
R-HSA-5688426,R-HSA-1632852,h
R-HSA-9615710,R-HSA-1632852,h
R-HSA-69615,R-HSA-1632852,h
R-HSA-1234174,R-HSA-1632852,h
R-HSA-400253,R-HSA-1632852,h
R-HSA-6783310,R-HSA-1632852,h
R-HSA-73893,R-HSA-1632852,h
R-HSA-5693606,R-HSA-1632852,h
R-HSA-5693538,R-HSA-1632852,h
R-HSA-5696399,R-HSA-1632852,h
R-HSA-69002,R-HSA-1632852,h
R-HSA-68867,R-HSA-1632852,h
R-HSA-5663084,R-HSA-1632852,h
R-HSA-5619084,R-HSA-1632852,h
R-HSA-9682385,R-HSA-1632852,h
R-HSA-5387390,R-HSA-1632852,h
R-HSA-9635486,R-HSA-1632852,h
R-HSA-8876384,R-HSA-1632852,h
R-HSA-9607240,R-HSA-1632852,h
R-HSA-1834949,R-HSA-1632852,h
R-HSA-9645460,R-HSA-1632852,h
R-HSA-8982491,R-HSA-1632852,h
R-HSA-450408,R-HSA-1632852,h
R-HSA-977225,R-HSA-1632852,h
R-HSA-156842,R-HSA-1632852,h
R-HSA-72613,R-HSA-1632852,h
R-HSA-72764,R-HSA-1632852,h
R-HSA-73887,R-HSA-1632852,h
R-HSA-5687128,R-HSA-1632852,h
R-HSA-195253,R-HSA-1632852,h
R-HSA-5610787,R-HSA-1632852,h
R-HSA-5632684,R-HSA-1632852,h
R-HSA-5358346,R-HSA-1632852,h
R-HSA-917937,R-HSA-1632852,h
R-HSA-382556,R-HSA-1632852,h
R-HSA-8856828,R-HSA-1632852,h
R-HSA-917729,R-HSA-1632852,h
R-HSA-2151209,R-HSA-1632852,h
R-HSA-1640170,R-HSA-1632852,h
R-HSA-69278,R-HSA-1632852,h
R-HSA-162906,R-HSA-1632852,h
R-HSA-5620924,R-HSA-1632852,h
R-HSA-109581,R-HSA-1632852,h
R-HSA-109606,R-HSA-1632852,h
R-HSA-168256,R-HSA-1632852,h
R-HSA-168249,R-HSA-1632852,h
R-HSA-163685,R-HSA-1632852,h
R-HSA-163680,R-HSA-1632852,h
R-HSA-983231,R-HSA-1632852,h
R-HSA-69481,R-HSA-1632852,h
R-HSA-9711097,R-HSA-1632852,h
R-HSA-5693532,R-HSA-1632852,h
R-HSA-5619115,R-HSA-1632852,h
R-HSA-5621481,R-HSA-1632852,h
R-HSA-3858494,R-HSA-1632852,h
R-HSA-983712,R-HSA-1632852,h
R-HSA-9711123,R-HSA-1632852,h
R-HSA-422475,R-HSA-1632852,h
R-HSA-390466,R-HSA-1632852,h
R-HSA-9006925,R-HSA-1632852,h
R-HSA-5663202,R-HSA-1632852,h
R-HSA-388841,R-HSA-1632852,h
R-HSA-8953897,R-HSA-1632852,h
R-HSA-2262752,R-HSA-1632852,h
R-HSA-2559583,R-HSA-1632852,h
R-HSA-73894,R-HSA-1632852,h
R-HSA-9675135,R-HSA-1632852,h
