id,name
R-HSA-9612973,Autophagy
R-HSA-1640170,Cell Cycle
R-HSA-1500931,Cell-Cell communication
R-HSA-8953897,Cellular responses to stimuli
R-HSA-4839726,Chromatin organization
R-HSA-400253,Circadian Clock
R-HSA-73894,DNA Repair
R-HSA-69306,DNA Replication
R-HSA-1266738,Developmental Biology
R-HSA-8963743,Digestion and absorption
R-HSA-1643685,Disease
R-HSA-9748784,Drug ADME
R-HSA-1474244,Extracellular matrix organization
R-HSA-74160,Gene expression (Transcription)
R-HSA-109582,Hemostasis
R-HSA-168256,Immune System
R-HSA-1430728,Metabolism
R-HSA-8953854,Metabolism of RNA
R-HSA-392499,Metabolism of proteins
R-HSA-397014,Muscle contraction
R-HSA-112316,Neuronal System
R-HSA-1852241,Organelle biogenesis and maintenance
R-HSA-5357801,Programmed Cell Death
R-HSA-9609507,Protein localization
R-HSA-1474165,Reproduction
R-HSA-9709957,Sensory Perception
R-HSA-162582,Signal Transduction
R-HSA-382551,Transport of small molecules
R-HSA-5653656,Vesicle-mediated transport
R-HSA-9613829,Chaperone Mediated Autophagy
R-HSA-9615710,Late endosomal microautophagy
R-HSA-1632852,Macroautophagy
R-HSA-69620,Cell Cycle Checkpoints
R-HSA-1500620,Meiosis
R-HSA-73886,Chromosome Maintenance
R-HSA-69278,"Cell Cycle, Mitotic"
R-HSA-391160,Signal regulatory protein family interactions
R-HSA-373753,Nephrin family interactions
R-HSA-446728,Cell junction organization
R-HSA-5660526,Response to metal ions
R-HSA-2262752,Cellular responses to stress
R-HSA-3247509,Chromatin modifying enzymes
R-HSA-1368108,"BMAL1:CLOCK,NPAS2 activates circadian gene expression"
R-HSA-1368071,NR1D1 (REV-ERBA) represses gene expression
R-HSA-1368082,RORA activates gene expression
R-HSA-6783310,Fanconi Anemia Pathway
R-HSA-73893,DNA Damage Bypass
R-HSA-73942,DNA Damage Reversal
R-HSA-5693532,DNA Double-Strand Break Repair
R-HSA-5358508,Mismatch Repair
R-HSA-73884,Base Excision Repair
R-HSA-5696398,Nucleotide Excision Repair
R-HSA-69002,DNA Replication Pre-Initiation
R-HSA-69239,Synthesis of DNA
R-HSA-452723,Transcriptional regulation of pluripotent stem cells
R-HSA-1181150,Signaling by NODAL
R-HSA-381340,Transcriptional regulation of white adipocyte differentiation
R-HSA-525793,Myogenesis
R-HSA-5682910,LGI-ADAM interactions
R-HSA-9675108,Nervous system development
R-HSA-186712,Regulation of beta-cell development
R-HSA-6805567,Keratinization
R-HSA-9616222,Transcriptional regulation of granulopoiesis
R-HSA-5619507,Activation of HOX genes during differentiation
R-HSA-9690406,Transcriptional regulation of testis differentiation
R-HSA-8963676,Intestinal absorption
R-HSA-8935690,Digestion
R-HSA-5668914,Diseases of metabolism
R-HSA-5619115,Disorders of transmembrane transporters
R-HSA-5260271,Diseases of Immune System
R-HSA-9645723,Diseases of programmed cell death
R-HSA-9675135,Diseases of DNA repair
R-HSA-9675151,Disorders of Developmental Biology
R-HSA-9675132,Diseases of cellular response to stress
R-HSA-9671793,Diseases of hemostasis
R-HSA-5663202,Diseases of signal transduction by growth factor receptors and second messengers
R-HSA-9675126,Diseases of mitotic cell cycle
R-HSA-5663205,Infectious disease
