,node,aPDist,pIn_Degree,aEigenvector_Centrality,pDegree_Centrality,aDegree,aIn_Degree,aBetweenness_Centrality,pDegree,aDegree_Centrality,pCloseness_Centrality,pPagerank,pOut_Degree,aCloseness_Centrality,pBetweenness_Centrality,aOut_Degree,pEigenvector_Centrality,aPagerank,hallmark
0,A1BG,11.933654884340562,2,0.00341741386981688,0.000475888324873096,3.0,2.0,2.15289616984055e-06,3,0.0004993342210386152,0.20669537522774897,5.6799163574996995e-05,1,0.171981088966017,2.1200544479881303e-06,1.0,8.20819613103108e-06,0.000109298734321563,0
1,A2M,10.65411620902011,10,0.020266457234669,0.00269670050761421,17.0,10.0,0.000329536835650059,17,0.00282956058588549,0.228601484357679,0.000182093544382477,7,0.194195582655569,0.000205571352402165,7.0,3.55894102533534e-05,0.000341492750340356,5
2,AA,11.574930470960561,1,0.00045134547849776894,0.000317258883248731,2.0,1.0,0.000118945733207096,2,0.00033288948069241003,0.16966322594545002,8.750453565658679e-05,1,0.147396921417998,0.000124154311040619,1.0,2.2605711882807498e-07,0.000135547170327223,0
3,AAAS,10.804454435014469,20,0.00015555810196849,0.0114213197969543,34.0,1.0,3.2492850005941e-05,72,0.00565912117177097,0.17160658366162,5.78754149529646e-05,52,0.139506208596725,4.1343676357270204e-06,33.0,1.80750472420729e-06,5.64684289273137e-05,512
4,AAK1,11.819760292894287,0,2.71956184904173e-20,0.00015862944162436498,1.0,0.0,0.0,1,0.00016644474034620502,0.0,3.38707495131675e-05,1,0.0,0.0,1.0,2.6598156925935396e-60,4.81339440286171e-05,4
5,AANAT,12.507914578133958,0,2.71956184904173e-20,0.000317258883248731,2.0,0.0,0.0,2,0.00033288948069241003,0.0,3.38707495131675e-05,2,0.0,0.0,2.0,2.6598156925935396e-60,4.81339440286171e-05,0
6,AATF,12.512900000001158,1,0.00026080602863639597,0.00015862944162436498,1.0,1.0,0.0,1,0.00016644474034620502,0.16863641534079601,4.34976873365169e-05,0,0.144856561418119,0.0,0.0,4.0904652964224403e-07,6.26164243132547e-05,656
7,AAVS1,11.57210158096222,2,6.79890462260431e-19,0.000475888324873096,3.0,2.0,0.000237018196923829,3,0.0004993342210386152,0.000317258883248731,9.14966543469424e-05,1,0.00033288948069241003,0.000247948161015905,1.0,1.6756838863339293e-58,0.000130049942895313,0
8,ABCA1,11.436196305541971,11,0.00639405768972413,0.00222081218274112,14.0,11.0,0.00037711417599876304,14,0.00233022636484687,0.20392880827256896,0.000172104979275978,3,0.17708067235769298,0.000385927554146954,3.0,6.57883736711049e-06,0.00025273842915992,4
9,ABCA3,12.512900000001158,1,0.0017373628580039998,0.00015862944162436498,1.0,1.0,0.0,1,0.00016644474034620502,0.194958721783888,4.43915694768774e-05,0,0.16548269444220098,0.0,0.0,1.97073586147295e-06,6.71709096609298e-05,0
10,ABCB1,11.374945015809963,17,0.0151574774234937,0.00317258883248731,20.0,17.0,0.000697915834303505,20,0.0033288948069241,0.22799269212237197,0.00040120532767213397,3,0.197935270490964,0.0005348226387269049,3.0,6.306257147571911e-05,0.000739840422129367,512
11,ABCC1,12.512900000001158,4,0.000859488187429152,0.000634517766497462,4.0,4.0,0.0,4,0.0006657789613848201,0.18202526948864103,0.000172976123353285,0,0.158960405709413,0.0,0.0,1.34400142443276e-06,0.000294470474243248,0
12,ABCC3,12.509640905309864,1,0.00150149769786065,0.000317258883248731,2.0,1.0,3.9532884788080496e-05,2,0.00033288948069241003,0.19221884020703897,3.86835059358373e-05,1,0.16011407902173902,4.44601511521057e-05,1.0,2.8041018193800598e-06,5.520019715803629e-05,0
13,ABCC8,11.504954917623971,2,0.000164844142108072,0.000634517766497462,4.0,2.0,2.0079726557991503e-06,4,0.0006657789613848201,0.162958202921456,6.192858450434e-05,2,0.139983088202888,1.46534911993805e-06,2.0,1.06575487788889e-07,8.88693116396647e-05,0
14,ABCG1,12.509640905309864,0,2.71956184904173e-20,0.00015862944162436498,1.0,0.0,0.0,1,0.00016644474034620502,0.0,3.38707495131675e-05,1,0.0,0.0,1.0,2.6598156925935396e-60,4.81339440286171e-05,0
15,ABCG2,12.512900000001158,5,0.00439925018411386,0.000793147208121827,5.0,5.0,0.0,5,0.000832223701731025,0.20808604012463197,6.647121830729189e-05,0,0.178592615229326,0.0,0.0,2.72698419117349e-05,0.00010203766548717,0
16,ABCG5,12.512900000001158,1,1.39239265060827e-06,0.00015862944162436498,1.0,1.0,0.0,1,0.00016644474034620502,0.135691564527896,3.87980268663871e-05,0,0.109354307232226,0.0,0.0,1.8482584441514603e-09,5.50681412609628e-05,0
17,ABHD5,11.638720103178875,0,2.71956184904173e-20,0.00015862944162436498,1.0,0.0,0.0,1,0.00016644474034620502,0.0,3.38707495131675e-05,1,0.0,0.0,1.0,2.6598156925935396e-60,4.81339440286171e-05,0
18,ABI1,11.098047978033264,26,0.0288449731890065,0.008248730964467009,22.0,11.0,0.000213133283850952,52,0.00366178428761651,0.238851650555462,0.00035824138679616603,26,0.19632359147547604,0.0003920931265897391,11.0,0.000111093582369028,0.000437442762101452,788
19,ABI2,12.497961973707264,40,0.0209034326802076,0.0107868020304569,28.0,21.0,6.054002031554859e-05,68,0.00466045272969374,0.240706436434726,0.000440172921969471,28,0.200294798472061,0.000828969250576683,7.0,7.82535844720266e-05,0.00028445602635129,16
20,ABI3,12.512900000001158,10,0.00079468473140563,0.0030139593908629398,1.0,1.0,0.0,19,0.00016644474034620502,0.21688115974799,0.000130585955107129,9,0.155728450552607,1.94947335422007e-05,0.0,2.0712527914215697e-05,5.601221100261589e-05,16
21,ABL1,9.196078632052197,39,0.0239418995221508,0.0160215736040609,84.0,28.0,0.00296773370241333,101,0.0139813581890812,0.24980358117701298,0.000417576497078098,62,0.2041535424214,0.0021501193851048896,56.0,0.000147898476840326,0.000519603459689865,982
22,ABL2,11.273596521884151,2,0.0035979524411923797,0.000793147208121827,5.0,2.0,2.56934583235961e-06,5,0.000832223701731025,0.19704475819059197,6.55676282609154e-05,3,0.16629420623818697,7.55973937660968e-08,3.0,6.8527347480716496e-06,0.000163450591196933,532
